ROWNUM;NAME;ADDRESS;X;Y;NAPRAVLENIE;USL_SPEED;GLOBALID;
168;"Комплекс фото-видеофиксации нарушений ПДД";"проспект Вернадского, д.59 А";"37.498911";"55.672504";"в центр";"Выделенная полоса";"87815035";
169;"Комплекс фото-видеофиксации нарушений ПДД";"Волгоградский проспект, д.27";"37.692805";"55.723634";"в центр";"Скорость";"87815036";
170;"Комплекс фото-видеофиксации нарушений ПДД";"Волгоградский проспект, д.32, корп.3";"37.692357";"55.723601";"из центра";"Скорость";"87815037";
171;"Комплекс фото-видеофиксации нарушений ПДД";"Волгоградский проспект, д.35";"37.696683";"55.722334";"в центр";"Скорость";"87815038";
172;"Комплекс фото-видеофиксации нарушений ПДД";"Волгоградский проспект, МГО № 222 , выезд на Остаповский путепровод";"37.701315";"55.721941";"в центр";"Скорость";"87815039";
173;"Комплекс фото-видеофиксации нарушений ПДД";"Волоколамское шоссе, д.104";"37.428345";"55.825906";"из центра";"Выделенная полоса + скорость";"87815040";
174;"Комплекс фото-видеофиксации нарушений ПДД";"Волоколамское шоссе, д.120";"37.409303";"55.829924";"из центра";"Выделенная полоса + скорость";"87815041";
175;"Комплекс фото-видеофиксации нарушений ПДД";"Волоколамское шоссе, д.73";"37.429675";"55.825459";"в центр";"Выделенная полоса + скорость";"87815042";
176;"Комплекс фото-видеофиксации нарушений ПДД";"Волоколамское шоссе, д.93";"37.407892";"55.830034";"в центр";"Выделенная полоса + скорость";"87815043";
177;"Комплекс фото-видеофиксации нарушений ПДД";"Дмитровское шоссе, д.23, корп.1";"37.572699";"55.82381";"в центр";"Выделенная полоса + скорость";"87815044";
178;"Комплекс фото-видеофиксации нарушений ПДД";"Дмитровское шоссе, д.63, корп.1";"37.56752";"55.847628";"в центр";"Выделенная полоса + скорость";"87815045";
179;"Комплекс фото-видеофиксации нарушений ПДД";"Каширское шоссе, д.100, корп.1";"37.715776";"55.613956";"из центра";"Контроль база + скорость";"87815046";
180;"Комплекс фото-видеофиксации нарушений ПДД";"Каширское шоссе, опора МГТ № 353 (Борисовские пруды)";"37.703589";"55.632522";"в центр";"Выделенная полоса + скорость";"87815047";
181;"Комплекс фото-видеофиксации нарушений ПДД";"Комсомольский проспект, д.45";"37.573014";"55.720347";"в центр";"Контроль база + скорость";"87815048";
182;"Комплекс фото-видеофиксации нарушений ПДД";"улица Косыгина, влад.29";"37.539154";"55.710595";"от Мичуринского проспекта";"Контроль база + скорость";"87815049";
183;"Комплекс фото-видеофиксации нарушений ПДД";"улица Косыгина, опора МГТ № 154";"37.537247";"55.713537";"к Мичуринскому пр-ту";"Выделенная полоса + скорость";"87815050";
184;"Комплекс фото-видеофиксации нарушений ПДД";"улица Красная Пресня, д.24";"37.56956";"55.761913";"из центра";"Контроль база + скорость";"87815051";
185;"Комплекс фото-видеофиксации нарушений ПДД";"Краснопрудная улица, д.13";"37.667422";"55.779965";"в центр";"Контроль база + скорость";"87815052";
186;"Комплекс фото-видеофиксации нарушений ПДД";"Краснопрудная улица, д.26";"37.667507";"55.780252";"из центра";"Контроль база + скорость";"87815053";
187;"Комплекс фото-видеофиксации нарушений ПДД";"Кутузовский проспект, д.43";"37.527617";"55.738234";"в центр";"Скорость";"87815054";
188;"Комплекс фото-видеофиксации нарушений ПДД";"Ленинградский проспект д.22";"37.574909";"55.781708";"из центра";"Выделенная полоса";"87815055";
189;"Комплекс фото-видеофиксации нарушений ПДД";"Ленинградский проспект, д.27";"37.567738";"55.784528";"в центр";"Контроль база + скорость";"87815056";
190;"Комплекс фото-видеофиксации нарушений ПДД";"Ленинградский проспект, д.36";"37.558461";"55.789164";"из центра";"Контроль база + скорость";"87815057";
191;"Комплекс фото-видеофиксации нарушений ПДД";"Ленинградский проспект, д.43, корп.1";"37.531811";"55.800051";"в центр";"Выделенная полоса";"87815058";
192;"Комплекс фото-видеофиксации нарушений ПДД";"Ленинградский проспект, д.64";"37.527486";"55.802064";"из центра";"Выделенная полоса";"87815059";
193;"Комплекс фото-видеофиксации нарушений ПДД";"Ленинградский проспект, дублер, д.27";"37.568256";"55.783911";"в центр";"Выделенная полоса";"87815060";
194;"Комплекс фото-видеофиксации нарушений ПДД";"Ленинградский проспект, дублер, д.32";"37.568787";"55.784544";"из центра";"Выделенная полоса";"87815061";
195;"Комплекс фото-видеофиксации нарушений ПДД";"Ленинградский проспект, опора МГТ № 189";"37.544633";"55.79436";"в центр";"Выделенная полоса + скорость";"87815062";
196;"Комплекс фото-видеофиксации нарушений ПДД";"Ленинградское шоссе, д.13, корп.1";"37.497757";"55.818927";"в центр";"Контроль база + скорость";"87815063";
197;"Комплекс фото-видеофиксации нарушений ПДД";"Ленинградское шоссе, д.8, корп.2";"37.499445";"55.817476";"из центра";"Контроль база + скорость";"87815064";
198;"Комплекс фото-видеофиксации нарушений ПДД";"Ленинский проспект, д.35";"37.586662";"55.711362";"в центр";"Выделенная полоса";"87815065";
